,City,CityID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
76,Vestmannaeyjar,3412093,100,IS,1567825428,92,63.44,-20.27,50.78,26.93
77,Lebu,344979,80,ET,1567825429,87,8.96,38.73,53.5,2.1
78,Agadez,2448085,33,NE,1567825429,31,16.97,7.99,92.92,3.8
79,New Norfolk,2155415,75,AU,1567825429,76,-42.78,147.06,50.0,18.34
81,Linqiong,1803365,75,CN,1567825430,94,30.42,103.46,73.4,1.28
82,Bitung,1648636,20,ID,1567825430,46,1.44,125.19,91.4,4.7
83,Castro,3896218,20,CL,1567825430,100,-42.48,-73.76,42.8,2.24
84,Cape Town,3369157,0,ZA,1567825222,81,-33.93,18.42,68.0,5.82
85,Fairview,5951036,90,CA,1567825431,63,56.07,-118.38,60.8,5.82
86,Dagana,2246550,100,MR,1567825431,67,16.52,-15.51,83.47,10.04
87,Sur,286245,98,OM,1567825431,37,22.57,59.53,88.26,6.38
88,Port Elizabeth,4501427,90,US,1567825431,77,39.31,-74.98,63.0,12.75
89,Cherskiy,2126199,93,RU,1567825432,57,68.75,161.3,43.4,7.99
90,Laguna,3581398,90,BZ,1567825432,94,16.17,-88.94,77.0,2.28
91,Mathathane,933383,57,BW,1567825432,80,-22.27,28.75,54.67,14.32
92,Century Village,4150524,90,US,1567825433,74,26.71,-80.13,86.0,7.65
93,Jiuquan,1280957,0,CN,1567825433,36,39.73,98.49,72.99,13.29
94,Padang,1633419,74,ID,1567825393,81,-0.92,100.36,80.66,12.28
95,Codrington,2160063,90,AU,1567825433,14,-28.95,153.24,77.0,14.99
96,Tuktoyaktuk,6170031,20,CA,1567825434,67,69.44,-133.03,60.8,8.05
97,Qaqortoq,3420846,100,GL,1567825434,46,60.72,-46.03,50.0,4.7
98,Mildura,2157698,40,AU,1567825434,44,-34.18,142.16,60.01,17.22
99,Cabo San Lucas,3985710,40,MX,1567825376,65,22.89,-109.91,84.0,3.36
100,Clyde River,5924351,90,CA,1567825434,86,70.47,-68.59,37.4,23.04
101,Khowai,1266649,40,IN,1567825435,66,24.08,91.6,89.6,5.82
102,Diveyevo,566165,20,RU,1567825435,88,55.04,43.25,54.11,3.69
103,Kavieng,2094342,100,PG,1567825435,76,-2.57,150.8,81.31,13.78
104,Mahebourg,934322,40,MU,1567825436,94,-20.41,57.7,71.01,4.7
105,Beloha,1067565,100,MG,1567825436,67,-25.17,45.06,59.73,20.56
106,Taoudenni,2450173,11,ML,1567825436,29,22.68,-3.98,90.87,15.9
107,Antibes,3037456,0,FR,1567825437,77,43.58,7.11,63.0,8.05
108,Saldanha,2737599,0,PT,1567825437,59,41.42,-6.55,54.63,5.7
109,Kapaa,5848280,20,US,1567825193,66,22.08,-159.32,89.6,17.22
110,Alofi,4036284,75,NU,1567825437,65,-19.06,-169.92,77.0,16.11
111,Georgetown,3378644,40,GY,1567825438,83,6.8,-58.16,75.2,6.93
112,Aklavik,5882953,20,CA,1567825438,48,68.22,-135.01,62.6,5.82
113,Waingapu,1622318,0,ID,1567825438,57,-9.65,120.26,82.16,14.14
114,Kosh-Agach,1502422,99,RU,1567825438,46,49.99,88.66,50.46,4.36
115,Arraial do Cabo,3471451,86,BR,1567825439,81,-22.97,-42.02,66.21,17.63
116,Barra,3470821,14,BR,1567825413,57,-11.09,-43.14,73.14,11.81
117,Belomorsk,577922,59,RU,1567825439,88,64.52,34.76,46.64,7.81
118,Bambous Virieux,1106677,40,MU,1567825174,94,-20.34,57.76,71.01,4.7
119,Touros,3386213,20,BR,1567825440,88,-5.2,-35.46,71.6,6.93
120,North Bend,5742974,90,US,1567825440,93,43.41,-124.22,66.2,7.07
121,Poya,2138522,0,NC,1567825440,66,-21.35,165.16,70.24,8.79
122,Peniche,2264923,0,PT,1567825440,33,39.36,-9.38,71.6,6.93
123,Abu Samrah,172515,0,SY,1567825441,91,35.3,37.18,67.67,9.89
124,Faanui,4034551,3,PF,1567825441,72,-16.48,-151.75,75.08,21.07
125,Inhambane,1045114,0,MZ,1567825442,79,-23.87,35.38,55.55,6.55
126,Amga,2027786,75,RU,1567825442,63,60.89,131.98,54.69,8.28
127,Yugorsk,1502725,0,RU,1567825442,75,61.32,63.33,51.05,2.77
128,Tabou,2281120,100,CI,1567825267,94,4.42,-7.36,75.48,4.72
129,Kieta,2094027,100,PG,1567825443,65,-6.22,155.63,82.82,3.15
130,Kavarskas,598304,4,LT,1567825443,87,55.43,24.93,46.64,4.0
131,Sinnamary,3380290,61,GF,1567825444,82,5.38,-52.96,81.4,13.53
132,Siparia,3573681,20,TT,1567825444,83,10.14,-61.51,79.0,4.7
133,Rio Gallegos,3838859,20,AR,1567825280,100,-51.62,-69.22,28.4,3.36
134,Gushikawa,1863495,90,JP,1567825445,83,26.35,127.87,86.0,13.87
135,Tutoia,3385899,4,BR,1567825445,89,-2.76,-42.27,73.77,5.84
136,Longyearbyen,2729907,75,NO,1567825445,74,78.22,15.63,33.8,9.17
137,Lianzhou,1803841,60,CN,1567825445,53,24.79,112.38,85.94,2.66
138,Beringovskiy,2126710,17,RU,1567825446,67,63.05,179.32,51.36,5.75
139,Kathmandu,1283240,75,NP,1567825217,88,27.71,85.32,73.4,3.36
140,Capiibary,3439208,100,PY,1567825446,52,-24.8,-56.03,79.76,8.43
141,Deep River,5937073,90,CA,1567825446,93,46.1,-77.49,57.2,3.53
142,Grindavik,3416888,75,IS,1567825447,93,63.84,-22.43,51.8,28.86
143,Mandan,5690366,90,US,1567825447,72,46.83,-100.89,64.4,9.17
144,Khatanga,2022572,77,RU,1567825447,82,71.98,102.47,48.3,10.38
145,Henties Bay,3356832,0,NA,1567825448,89,-22.12,14.28,57.0,1.99
146,Troitskoye,1489209,100,RU,1567825448,76,52.98,84.68,58.81,3.53
147,Soe,587876,20,EE,1567825448,100,57.91,26.05,48.99,2.24
148,Vilhena,3924679,0,BR,1567825170,37,-12.74,-60.15,82.61,6.2
149,Sovetskiy,490040,63,RU,1567825449,92,56.76,48.47,51.68,4.99
150,Maxixe,1039536,0,MZ,1567825449,79,-23.86,35.35,55.55,6.55
151,Hasaki,2112802,40,JP,1567825449,62,35.73,140.83,89.6,6.93
152,Itarema,3393692,41,BR,1567825450,75,-2.92,-39.92,77.55,10.33
153,Marasu,1270239,100,IN,1567825450,97,12.97,75.97,70.42,3.78
